,Year,Return,PercentReturn
0,2009,MeanReturns,0.102581634527
1,2010,MeanReturns,0.104205877034
2,2011,MeanReturns,0.115212401678
3,2012,MeanReturns,0.109697790959
4,2013,MeanReturns,0.0877756442549
5,2014,MeanReturns,0.0726749245389
6,2009,MinReturn,-0.1827
7,2010,MinReturn,-0.1773
8,2011,MinReturn,0.0178
9,2012,MinReturn,0.0178
10,2013,MinReturn,0.0381
11,2014,MinReturn,0.04231
12,2009,MaxReturn,0.2837
13,2010,MaxReturn,0.2667
14,2011,MaxReturn,0.1755
15,2012,MaxReturn,0.1733
16,2013,MaxReturn,0.1363
17,2014,MaxReturn,0.10663
